Ticker,Open,High,Low,Close,ChangePercent-1,ChangePercent-2,RangeNet,RangePercent,RangePercent-1,RangePercent-2,WeekdayNum,Weekday,target
_SPXD,1214.47,1214.47,1196.25,1196.39,-1,-0.17,18.22,1.5,1.29,0.67,4,4_Wed,No
_SPXD,1196.39,1202.14,1181.92,1191.49,-1.49,-1,20.22,1.69,1.5,1.29,5,5_Thu,No
_SPXD,1191.49,1199.71,1191.46,1195.9,-0.41,-1.49,8.25,0.69,1.69,1.5,6,6_Fri,No
_SPXD,1195.9,1196.52,1186.12,1187.33,0.37,-0.41,10.4,0.87,0.69,1.69,2,2_Mon,No
_SPXD,1187.33,1193.1,1183.16,1184.87,-0.72,0.37,9.94,0.84,0.87,0.69,3,3_Tue,No
_SPXD,1184.87,1190.02,1173.65,1177.68,-0.21,-0.72,16.37,1.38,0.84,0.87,4,4_Wed,No
_SPXD,1177.68,1179.56,1168.2,1176.84,-0.61,-0.21,11.36,0.96,1.38,0.84,5,5_Thu,No
_SPXD,1176.84,1187.13,1175.44,1186.57,-0.07,-0.61,11.69,0.99,0.96,1.38,6,6_Fri,No
_SPXD,1186.57,1191.21,1184.48,1190.1,0.83,-0.07,6.73,0.57,0.99,0.96,2,2_Mon,Yes
_SPXD,1190.1,1190.1,1178.13,1178.14,0.3,0.83,11.97,1.01,0.57,0.99,3,3_Tue,No
_SPXD,1178.14,1195.76,1170.55,1195.76,-1,0.3,25.21,2.14,1.01,0.57,4,4_Wed,No
_SPXD,1195.76,1197.3,1173.3,1177.8,1.5,-1,24,2.01,2.14,1.01,5,5_Thu,No
_SPXD,1177.8,1186.46,1174.92,1179.59,-1.5,1.5,11.54,0.98,2.01,2.14,6,6_Fri,No
_SPXD,1179.59,1199.39,1179.59,1199.38,0.15,-1.5,19.8,1.68,0.98,2.01,2,2_Mon,Yes
_SPXD,1199.38,1201.3,1189.29,1196.54,1.68,0.15,12.01,1,1.68,0.98,3,3_Tue,No
_SPXD,1196.54,1204.01,1191.38,1191.38,-0.24,1.68,12.63,1.06,1,1.68,4,4_Wed,No
_SPXD,1191.38,1192.65,1178.89,1178.9,-0.43,-0.24,13.76,1.15,1.06,1,5,5_Thu,No
_SPXD,1178.9,1198.41,1178.9,1198.41,-1.05,-0.43,19.51,1.65,1.15,1.06,6,6_Fri,No
_SPXD,1198.41,1211.43,1198.41,1207.01,1.65,-1.05,13.02,1.09,1.65,1.15,2,2_Mon,Yes
_SPXD,1207.01,1207.34,1201.66,1202.76,0.72,1.65,5.68,0.47,1.09,1.65,3,3_Tue,No
_SPXD,1202.76,1215.17,1201.07,1214.76,-0.35,0.72,14.1,1.17,0.47,1.09,4,4_Wed,No
_SPXD,1214.76,1224.7,1214.76,1219.94,1,-0.35,9.94,0.82,1.17,0.47,5,5_Thu,Yes
_SPXD,1219.94,1222.52,1214.45,1220.14,0.43,1,8.07,0.66,0.82,1.17,6,6_Fri,Yes
_SPXD,1220.14,1224.18,1217.29,1222.81,0.02,0.43,6.89,0.56,0.66,0.82,2,2_Mon,Yes
_SPXD,1222.81,1222.81,1216.08,1218.59,0.22,0.02,6.73,0.55,0.56,0.66,3,3_Tue,No
_SPXD,1218.59,1226.59,1216.53,1220.65,-0.35,0.22,10.06,0.83,0.55,0.56,4,4_Wed,No
_SPXD,1220.65,1232.41,1215.05,1230.96,0.17,-0.35,17.36,1.42,0.83,0.55,5,5_Thu,Yes
_SPXD,1230.96,1235.7,1230.72,1234.72,0.84,0.17,4.98,0.4,1.42,0.83,6,6_Fri,Yes
_SPXD,1234.72,1237.2,1231.78,1233.71,0.31,0.84,5.42,0.44,0.4,1.42,2,2_Mon,No
_SPXD,1233.76,1237.94,1226.41,1229.01,-0.08,0.31,11.53,0.93,0.44,0.4,3,3_Tue,No
_SPXD,1229.01,1232.24,1227.18,1231.21,-0.38,-0.08,5.06,0.41,0.93,0.44,4,4_Wed,No
_SPXD,1231.21,1242.96,1231.21,1242.8,0.18,-0.38,11.75,0.95,0.41,0.93,5,5_Thu,Yes
_SPXD,1242.8,1249.58,1240.71,1248.27,0.94,0.18,8.87,0.71,0.95,0.41,6,6_Fri,Yes
_SPXD,1248.27,1255.89,1246.9,1254.85,0.44,0.94,8.99,0.72,0.71,0.95,2,2_Mon,Yes
_SPXD,1254.85,1261.9,1251.4,1261.23,0.53,0.44,10.5,0.84,0.72,0.71,3,3_Tue,Yes
_SPXD,1261.23,1270.64,1259.51,1265.61,0.51,0.53,11.13,0.88,0.84,0.72,4,4_Wed,Yes
_SPXD,1265.61,1268.78,1265.54,1268.25,0.35,0.51,3.24,0.26,0.88,0.84,6,6_Fri,Yes
_SPXD,1268.25,1268.44,1257.17,1257.46,0.21,0.35,11.27,0.89,0.26,0.88,2,2_Mon,No
_SPXD,1257.46,1266.18,1257.46,1257.48,-0.85,0.21,8.72,0.69,0.89,0.26,3,3_Tue,No
_SPXD,1257.48,1260.93,1249.39,1249.48,0,-0.85,11.54,0.92,0.69,0.89,4,4_Wed,No
_SPXD,1249.48,1266.17,1249.48,1264.67,-0.64,0,16.69,1.34,0.92,0.69,5,5_Thu,No
_SPXD,1264.67,1266.85,1261.42,1265.08,1.22,-0.64,5.43,0.43,1.34,0.92,6,6_Fri,Yes
_SPXD,1265.08,1265.08,1258.12,1262.09,0.03,1.22,6.96,0.55,0.43,1.34,2,2_Mon,No
_SPXD,1262.09,1272.89,1262.09,1263.7,-0.24,0.03,10.8,0.86,0.55,0.43,3,3_Tue,No
_SPXD,1263.7,1264.85,1253.02,1257.37,0.13,-0.24,11.83,0.94,0.86,0.55,4,4_Wed,No
_SPXD,1257.37,1263.36,1250.91,1255.84,-0.5,0.13,12.45,0.99,0.94,0.86,5,5_Thu,No
_SPXD,1255.84,1263.08,1254.24,1259.37,-0.12,-0.5,8.84,0.7,0.99,0.94,6,6_Fri,No
_SPXD,1259.37,1263.86,1255.52,1260.43,0.28,-0.12,8.34,0.66,0.7,0.99,2,2_Mon,Yes
_SPXD,1260.43,1272.11,1258.56,1267.43,0.08,0.28,13.55,1.08,0.66,0.7,3,3_Tue,Yes
_SPXD,1267.43,1275.8,1267.07,1272.74,0.56,0.08,8.73,0.69,1.08,0.66,4,4_Wed,Yes
_SPXD,1272.74,1275.17,1267.74,1270.94,0.42,0.56,7.43,0.58,0.69,1.08,5,5_Thu,No
_SPXD,1270.94,1275.24,1267.32,1267.32,-0.14,0.42,7.92,0.62,0.58,0.69,6,6_Fri,No
_SPXD,1267.32,1270.51,1259.28,1259.92,-0.28,-0.14,11.23,0.89,0.62,0.58,2,2_Mon,No
